ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10229804,HY417203,09/05/2015 12:05:00 AM,019XX W GARFIELD BLVD,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,false,true,0715,007,15,67,20,1164196,1868054,2015,02/10/2018 03:50:01 PM,41.793558822,-87.673441649,"(41.793558822, -87.673441649)"
10229805,HY417220,09/09/2015 07:15:00 PM,048XX W CHICAGO AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,true,false,1531,015,28,25,18,1143914,1904872,2015,02/10/2018 03:50:01 PM,41.894995682,-87.746893204,"(41.894995682, -87.746893204)"
10229806,HY417152,09/09/2015 01:20:00 PM,077XX S HERMITAGE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0611,006,17,71,05,1166024,1853413,2015,02/10/2018 03:50:01 PM,41.7533433,-87.667154376,"(41.7533433, -87.667154376)"
10229807,HY416874,09/09/2015 03:45:00 PM,086XX S CALUMET AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,0632,006,6,44,08B,1179982,1847804,2015,02/10/2018 03:50:01 PM,41.737643594,-87.616175089,"(41.737643594, -87.616175089)"
10229808,HY416997,09/09/2015 07:00:00 AM,075XX S CALUMET AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0623,006,6,69,05,1179779,1855179,2015,02/10/2018 03:50:01 PM,41.757886076,-87.61669378,"(41.757886076, -87.61669378)"
10229809,HY416783,09/09/2015 03:00:00 PM,086XX S ELIZABETH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0613,006,21,71,05,1169499,1847553,2015,02/10/2018 03:50:01 PM,41.737188111,-87.654589179,"(41.737188111, -87.654589179)"
10229810,HY416876,09/09/2015 02:45:00 PM,075XX S WOOD ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,true,false,0611,006,17,71,05,1165660,1854599,2015,02/10/2018 03:50:01 PM,41.756605577,-87.668454715,"(41.756605577, -87.668454715)"
10229811,HY417186,08/09/2015 08:00:00 AM,046XX W NORTH AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,2533,025,37,25,06,1145011,1910225,2015,02/10/2018 03:50:01 PM,41.909664252,-87.742728815,"(41.909664252, -87.742728815)"
10229812,HY416967,09/09/2015 08:30:00 AM,075XX S ABERDEEN ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0612,006,17,71,05,1170289,1854840,2015,02/10/2018 03:50:01 PM,41.757167489,-87.651483293,"(41.757167489, -87.651483293)"
10229813,HY417145,09/09/2015 07:05:00 PM,088XX S OGLESBY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0412,004,8,48,08B,1193371,1846785,2015,02/10/2018 03:50:01 PM,41.734530731,-87.567155379,"(41.734530731, -87.567155379)"
